,0
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,-1
71,-1
72,-1
73,-1
74,-1
75,-1
76,-1
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,-1
85,-1
86,-1
87,-1
88,-1
89,-1
90,-1
91,-1
92,-1
93,-1
94,-1
95,-1
96,-1
97,-1
98,-1
99,-1
100,-1
101,-1
102,-1
103,-1
104,-1
105,-1
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,-1
114,-1
115,-1
116,-1
117,-1
118,-1
119,-1
120,-1
121,-1
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,-1
157,-1
158,-1
159,-1
160,-1
161,-1
162,-1
163,-1
164,-1
165,-1
166,-1
167,-1
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,-1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,-1
183,-1
184,-1
185,-1
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,-1
193,-1
194,-1
195,-1
196,-1
197,-1
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,14
207,14
208,15
209,15
210,16
211,16
212,16
213,16
214,16
215,16
216,16
217,16
218,16
219,16
220,16
221,16
222,16
223,17
224,17
225,17
226,17
227,17
228,17
229,17
230,17
231,18
232,18
233,18
234,18
235,18
236,18
237,18
238,18
239,18
240,18
241,18
242,19
243,19
244,19
245,19
246,19
247,19
248,19
249,19
250,19
251,19
252,19
253,19
254,19
255,19
256,19
257,19
258,19
259,19
260,19
261,20
262,20
263,20
264,20
265,20
266,20
267,20
268,20
269,21
270,21
271,21
272,21
273,21
274,21
275,21
276,21
277,21
278,22
279,22
280,22
281,22
282,23
283,23
284,23
285,23
286,23
287,23
288,23
289,23
290,23
291,23
292,24
293,24
294,24
295,24
296,24
297,24
298,25
299,25
300,25
301,25
302,25
303,25
304,25
305,25
306,25
307,25
308,25
309,25
310,25
311,25
312,-1
313,26
314,26
315,26
316,26
317,26
318,27
319,27
320,27
321,27
322,27
323,27
324,27
325,27
326,27
327,27
328,27
329,27
330,-1
331,27
332,27
333,27
334,27
335,27
336,27
337,27
338,27
339,27
340,27
341,28
342,28
343,28
344,28
345,28
346,28
347,28
348,28
349,28
350,28
351,28
352,28
353,28
354,28
355,28
356,28
357,28
358,28
359,28
360,28
361,28
362,28
363,28
364,28
365,28
366,-1
367,28
368,28
369,28
370,28
371,28
372,28
373,-1
374,28
375,29
376,29
377,29
378,29
379,30
380,30
381,30
382,30
383,31
384,31
385,31
386,32
387,32
388,32
389,32
390,32
391,32
392,32
393,32
394,32
395,33
396,33
397,33
398,34
399,34
400,35
401,35
402,35
403,35
404,35
405,35
406,36
407,36
408,36
409,36
410,37
411,37
412,37
413,37
414,38
415,38
416,38
417,-1
418,38
419,38
420,38
421,38
422,38
423,38
424,39
425,39
426,39
427,39
428,39
429,40
430,40
431,41
432,42
433,42
434,42
435,42
436,42
437,-1
438,42
439,42
440,43
441,43
442,43
443,44
444,44
445,44
446,44
447,44
448,44
449,44
450,44
451,44
452,45
453,45
454,45
455,-1
456,-1
457,47
458,47
459,48
460,49
461,49
462,50
463,50
464,51
465,51
466,52
467,52
468,52
469,53
470,53
471,53
472,53
473,54
474,54
475,54
476,54
477,54
478,55
479,55
480,-1
481,57
482,58
483,-1
484,58
485,58
486,58
487,59
488,59
489,59
490,59
491,59
492,59
493,59
494,60
495,62
496,62
497,62
498,63
499,63
500,63
501,64
502,64
503,64
504,64
505,64
506,64
507,64
508,65
509,65
510,65
511,66
512,67
513,68
514,68
515,68
516,-1
517,-1
518,-1
519,-1
520,68
521,68
522,68
523,69
524,69
525,69
526,70
527,70
528,70
529,70
530,71
531,72
532,72
533,72
534,73
535,73
536,73
537,73
538,74
539,74
540,74
541,74
542,75
543,75
544,76
545,76
546,76
547,77
548,77
549,77
550,77
551,78
552,78
553,78
554,79
555,79
556,81
557,81
558,81
559,82
560,82
561,82
562,82
563,83
564,83
565,84
566,84
567,84
568,84
569,85
570,85
571,85
572,86
573,86
574,86
575,87
576,88
577,88
578,88
579,89
580,89
581,89
582,90
583,90
584,90
585,91
586,92
587,92
588,93
589,93
590,94
591,94
592,94
593,95
594,96
595,97
596,98
597,99
598,99
599,100
600,101
601,101
602,102
603,103
604,104
605,105
606,106
607,106
608,107
609,108
610,108
611,109
612,109
613,110
614,110
615,110
616,111
617,111
618,111
619,111
620,112
621,112
622,113
623,113
624,113
625,114
626,114
627,114
628,114
629,115
630,115
631,115
632,115
633,116
634,116
635,116
636,116
637,117
638,118
639,119
640,119
641,120
642,120
643,121
644,122
645,123
646,123
647,123
648,124
649,124
650,124
651,125
652,125
653,126
654,126
655,126
656,127
657,127
658,127
659,127
660,127
661,127
662,127
663,128
664,128
665,129
666,129
667,129
668,130
669,130
670,130
671,130
672,131
673,131
674,131
675,132
676,132
677,132
678,133
679,133
680,133
681,133
682,133
683,134
684,134
685,135
686,135
687,136
688,136
689,137
690,137
691,138
692,138
693,138
694,139
695,139
696,139
697,140
698,140
699,141
700,141
701,141
702,142
703,142
704,142
705,143
706,143
707,144
708,144
709,144
710,145
711,145
712,145
713,145
714,145
715,145
716,145
717,146
718,146
719,146
720,147
721,147
722,147
723,147
724,148
725,149
726,149
727,150
728,151
729,151
730,151
731,152
732,-1
733,152
734,152
735,152
736,-1
737,153
738,153
739,154
740,154
741,155
742,155
743,156
744,156
745,156
746,156
747,157
748,157
749,157
750,157
751,158
752,158
753,158
754,158
755,158
756,159
757,159
